"basin","BFI","Q.mm_y","Q90.mm_d","Q10.mm_d","FDC.slope","flow.winter","flow.summer","class.Q.kmeans"
1013500,0.59,605,0.3271,4.0722,4.14,0.023,0.024,1
1022500,0.56,775,0.3282,4.9443,4.54,0.036,0.016,1
1030500,0.51,637,0.1837,4.6429,4.63,0.028,0.015,1
1031500,0.45,729,0.182,4.8995,5,0.028,0.016,1
1047000,0.48,779,0.288,5.0062,4.88,0.026,0.02,1
1052500,0.46,858,0.3759,5.4462,4.69,0.022,0.021,1
1054200,0.44,979,0.3514,5.742,4.7,0.027,0.018,1
1055000,0.44,797,0.2827,5.0861,4.68,0.025,0.02,1
1057000,0.48,654,0.1665,4.058,4.57,0.029,0.017,1
1073000,0.5,618,0.1263,3.9461,4.54,0.033,0.016,1
1078000,0.49,630,0.2094,4.0115,4.65,0.029,0.017,1
1118300,0.55,813,0.1615,4.8931,4.37,0.042,0.016,1
1121000,0.53,717,0.1713,4.0893,4.14,0.04,0.017,1
1123000,0.58,645,0.2854,3.513,4.23,0.04,0.018,1
1134500,0.48,744,0.3513,4.6297,4.35,0.026,0.021,1
1137500,0.54,839,0.5662,4.9786,4.31,0.027,0.022,1
1139000,0.57,602,0.3481,3.64,4.18,0.028,0.023,1
1139800,0.59,644,0.3298,4.0422,4.09,0.027,0.021,1
1142500,0.57,608,0.2924,3.6997,4.04,0.029,0.019,1
1144000,0.56,659,0.3335,3.9637,4.16,0.029,0.019,1
1162500,0.5,643,0.1468,4.1592,4.66,0.034,0.016,1
1169000,0.5,806,0.286,4.7555,4.65,0.031,0.016,1
1170100,0.53,774,0.2744,4.6188,4.5,0.031,0.017,1
1181000,0.49,763,0.2206,4.5221,4.84,0.033,0.016,1
1187300,0.44,724,0.1223,4.3495,4.76,0.036,0.015,2
1333000,0.55,718,0.3058,4.3427,4.33,0.036,0.017,1
1350000,0.45,739,0.1397,4.3424,4.98,0.034,0.015,2
1350140,0.46,518,0.0528,3.0582,4.6,0.036,0.014,2
1365000,0.55,954,0.3915,5.358,4.11,0.035,0.02,1
1411300,0.72,450,0.4336,2.2917,3.74,0.034,0.024,1
1413500,0.52,689,0.202,4.0276,4.52,0.036,0.017,1
1414500,0.53,789,0.2638,4.4726,4.18,0.037,0.017,1
1415000,0.51,630,0.1735,3.8349,4.37,0.038,0.016,1
1423000,0.52,638,0.165,3.8974,4.76,0.038,0.016,1
1435000,0.54,1036,0.5405,5.4763,4.15,0.034,0.019,1
1439500,0.58,719,0.2319,4.2215,4.07,0.038,0.018,1
1440000,0.59,640,0.2476,3.5388,4.3,0.037,0.019,1
1440400,0.55,737,0.2796,4.1801,4.47,0.038,0.018,1
1451800,0.47,635,0.1979,3.8138,4.49,0.041,0.018,1
1466500,0.84,340,0.4844,1.4679,3.46,0.032,0.029,1
1484100,0.71,347,0.2148,1.767,3.32,0.035,0.024,1
1485500,0.48,338,0.0517,2.1881,4.88,0.043,0.017,2
1486000,0.52,451,0.1045,2.669,4.98,0.042,0.018,2
1487000,0.74,452,0.3271,2.4073,3.7,0.035,0.023,1
1491000,0.56,432,0.1341,2.3963,4.3,0.037,0.02,1
1510000,0.51,649,0.1725,3.9094,4.74,0.038,0.015,1
1516500,0.41,373,0.0474,2.2098,5.6,0.035,0.016,2
1532000,0.43,482,0.0707,2.8299,5.17,0.039,0.014,2
1539000,0.52,636,0.2126,3.6246,4.35,0.039,0.018,1
1542810,0.38,566,0.0786,3.6699,5.15,0.038,0.018,2
1543000,0.45,597,0.1074,3.8119,4.87,0.038,0.018,2
1543500,0.48,594,0.1142,3.729,4.64,0.038,0.018,1
1544500,0.48,585,0.1172,3.6113,4.76,0.037,0.017,1
1545600,0.51,542,0.1162,3.3436,4.62,0.036,0.018,1
1547700,0.44,485,0.0708,2.9831,5.5,0.038,0.015,2
1548500,0.49,508,0.1241,3.2055,4.78,0.036,0.018,1
1549500,0.47,549,0.1009,3.2789,4.71,0.038,0.015,2
1550000,0.49,596,0.1512,3.4879,4.38,0.037,0.016,1
1552000,0.5,624,0.1846,3.4889,4.35,0.04,0.016,1
1552500,0.48,722,0.1965,4.0108,4.38,0.04,0.018,1
1557500,0.53,577,0.1596,3.5103,4.89,0.037,0.016,1
1567500,0.54,474,0.2509,2.572,4.96,0.036,0.021,1
1568000,0.51,509,0.1649,3.0239,5,0.037,0.017,1
1580000,0.71,471,0.4312,2.1758,3.66,0.035,0.026,1
1583500,0.73,392,0.3607,1.8349,3.72,0.036,0.025,1
1591400,0.64,379,0.2571,1.7002,3.67,0.038,0.023,1
1596500,0.45,553,0.0763,3.6796,5.04,0.04,0.013,2
1605500,0.53,372,0.1751,2.0669,5,0.037,0.017,1
1606500,0.51,438,0.1423,2.6861,5.06,0.037,0.016,1
1613050,0.41,440,0.0227,2.9708,5.87,0.039,0.013,2
