"files","basin","event.size.mm"
"Cdata_id_02137727.mat","02137727",9.68421359294397
"Cdata_id_02143000.mat","02143000",10.3416593177855
"Cdata_id_02143040.mat","02143040",12.695411996658
"Cdata_id_02149000.mat","02149000",9.96931317173125
"Cdata_id_02152100.mat","02152100",11.4094561592574
"Cdata_id_02177000.mat","02177000",12.4220777086519
"Cdata_id_02178400.mat","02178400",13.3250304603381
"Cdata_id_02202600.mat","02202600",11.2921031478429
"Cdata_id_02212600.mat","02212600",12.735374988223
"Cdata_id_02221525.mat","02221525",11.7557848302436
"Cdata_id_02231000.mat","02231000",9.60335950405701
"Cdata_id_02231342.mat","02231342",12.9971271810438
"Cdata_id_02245500.mat","02245500",10.7357119009211
"Cdata_id_02246000.mat","02246000",10.7383117915924
"Cdata_id_02296500.mat","02296500",10.1622195028857
"Cdata_id_02297155.mat","02297155",14.8327478002974
"Cdata_id_02297310.mat","02297310",11.3991417898508
"Cdata_id_02298123.mat","02298123",10.1374468499175
"Cdata_id_02298608.mat","02298608",12.7303846388847
"Cdata_id_02299950.mat","02299950",13.9471431560814
"Cdata_id_02300700.mat","02300700",13.0475795538759
"Cdata_id_02310947.mat","02310947",9.75170981412878
"Cdata_id_02312200.mat","02312200",10.3706897894209
"Cdata_id_02314500.mat","02314500",9.74103138434328
"Cdata_id_02315500.mat","02315500",8.53620598577777
"Cdata_id_02324400.mat","02324400",13.7321028698027
"Cdata_id_02327100.mat","02327100",13.413089669002
"Cdata_id_02342933.mat","02342933",14.2280919733555
"Cdata_id_02349900.mat","02349900",12.3679007861204
"Cdata_id_02361000.mat","02361000",11.838226733809
"Cdata_id_02369800.mat","02369800",14.106562059749
"Cdata_id_02371500.mat","02371500",11.8726867404382
"Cdata_id_02372250.mat","02372250",11.9099408292903
"Cdata_id_02374500.mat","02374500",13.8534020966211
"Cdata_id_02381600.mat","02381600",14.1995976250974
"Cdata_id_02395120.mat","02395120",13.2136265219994
"Cdata_id_02408540.mat","02408540",11.4784834099989
"Cdata_id_02422500.mat","02422500",12.6546457351469
"Cdata_id_02430085.mat","02430085",15.07101621601
"Cdata_id_02430615.mat","02430615",15.0950199060377
"Cdata_id_02450250.mat","02450250",13.0540715343242
"Cdata_id_02464000.mat","02464000",12.1963878795268
"Cdata_id_02465493.mat","02465493",14.2007367936714
"Cdata_id_02469800.mat","02469800",13.6020877113957
"Cdata_id_02472000.mat","02472000",11.7143204300687
"Cdata_id_02472500.mat","02472500",13.1788648523429
"Cdata_id_02479155.mat","02479155",14.8007965605179
"Cdata_id_02479300.mat","02479300",11.7990199802225
"Cdata_id_02479560.mat","02479560",11.7900593332354
"Cdata_id_02481000.mat","02481000",13.7212229576917
"Cdata_id_02481510.mat","02481510",11.8993012649939
"Cdata_id_03010655.mat","03010655",6.49397717026834
"Cdata_id_03011800.mat","03011800",7.39977212620921
"Cdata_id_03015500.mat","03015500",6.61904453791336
"Cdata_id_03021350.mat","03021350",7.16440676911445
"Cdata_id_03026500.mat","03026500",7.60807210541611
"Cdata_id_03028000.mat","03028000",7.2228479791588
"Cdata_id_03049000.mat","03049000",7.10283300121353
"Cdata_id_03049800.mat","03049800",7.54394820428538
"Cdata_id_03069500.mat","03069500",6.99433138631213
"Cdata_id_03070500.mat","03070500",7.2770109784413
"Cdata_id_03076600.mat","03076600",7.57436727588884
"Cdata_id_03078000.mat","03078000",7.53718709300363
"Cdata_id_03140000.mat","03140000",8.00310957350177
"Cdata_id_03144000.mat","03144000",7.61386325601041
"Cdata_id_03159540.mat","03159540",7.60460746795641
"Cdata_id_03161000.mat","03161000",9.14985221738791
"Cdata_id_03164000.mat","03164000",7.57965832085065
"Cdata_id_03165000.mat","03165000",11.1530155284087
"Cdata_id_03170000.mat","03170000",8.819950526556
"Cdata_id_03173000.mat","03173000",6.96555519650725
"Cdata_id_03180500.mat","03180500",7.49022105884722
"Cdata_id_03182500.mat","03182500",6.60060189993292
"Cdata_id_03186500.mat","03186500",8.20632644244106
"Cdata_id_03213700.mat","03213700",6.9519689077335
"Cdata_id_03237280.mat","03237280",9.66640797101547
"Cdata_id_03237500.mat","03237500",7.76040857893289
"Cdata_id_03238500.mat","03238500",8.06680589961993
"Cdata_id_03241500.mat","03241500",8.56519946263788
"Cdata_id_03280700.mat","03280700",9.65408392998246
"Cdata_id_03281500.mat","03281500",8.44913299509179
"Cdata_id_03285000.mat","03285000",9.11632549513313
"Cdata_id_03291780.mat","03291780",10.579640858209
"Cdata_id_03340800.mat","03340800",8.82946956662351
"Cdata_id_03346000.mat","03346000",8.29757168249473
"Cdata_id_03357350.mat","03357350",10.3324592514337
"Cdata_id_03364500.mat","03364500",8.83939829724277
"Cdata_id_03366500.mat","03366500",8.95260518633424
"Cdata_id_03368000.mat","03368000",10.3289236499508
"Cdata_id_03384450.mat","03384450",12.7727095641788
"Cdata_id_03439000.mat","03439000",13.5614326264062
"Cdata_id_03455500.mat","03455500",13.9649174236677
"Cdata_id_03456500.mat","03456500",11.4594807311852
